100 4784
5 70 15
67 69 6
30 92 16
21 48 16
49 93 12
28 63 18
26 55 14
34 48 13
13 49 9
8 83 18
79 93 13
14 44 22
25 50 6
36 81 20
37 39 23
70 97 4
51 98 20
17 26 21
53 55 6
1 48 18
3 89 23
38 76 4
11 48 26
52 84 1
10 45 7
3 77 23
23 61 5
80 94 27
7 62 29
44 95 1
67 85 5
66 72 5
43 51 27
57 77 19
7 76 2
34 90 20
15 19 18
22 45 26
27 93 19
41 66 4
2 57 12
2 44 15
7 21 17
20 66 20
88 92 11
42 67 22
4 24 20
6 23 30
63 66 3
67 91 21
79 80 23
92 93 13
5 72 1
7 13 20
33 58 28
14 88 14
63 77 7
2 86 26
1 53 4
20 45 27
67 94 23
53 97 18
52 55 22
13 84 15
30 88 13
30 65 23
37 65 16
6 86 26
40 83 15
32 83 9
58 69 28
50 59 6
41 56 22
56 80 2
81 88 26
46 82 23
1 30 21
16 24 21
26 48 28
9 37 20
35 37 25
85 94 11
14 46 14
8 85 10
16 80 17
44 64 29
18 20 16
45 61 23
12 13 9
21 79 21
9 57 22
40 69 4
48 57 9
19 44 24
23 55 26
0 36 20
5 10 22
51 72 5
15 87 26
40 96 3
5 65 22
10 57 2
14 85 7
51 82 25
5 55 22
26 94 10
14 52 29
93 95 23
10 59 17
60 65 11
36 86 6
18 64 30
19 88 14
94 99 21
26 29 15
35 59 15
53 73 10
40 58 11
30 97 15
4 82 12
1 78 8
31 83 24
23 35 18
30 64 2
14 87 26
10 81 9
57 72 3
21 89 28
45 76 20
16 48 9
30 85 8
36 80 30
0 95 7
34 96 7
43 89 10
65 82 5
24 84 2
13 26 24
8 38 3
35 58 30
22 88 26
13 42 29
46 76 29
37 54 29
26 43 25
70 73 13
43 75 26
10 26 22
35 60 14
2 60 21
30 43 17
30 86 28
57 73 16
8 77 6
53 60 17
7 19 14
22 72 8
4 26 9
29 56 1
22 70 8
58 84 14
19 55 27
19 52 23
41 65 14
53 86 15
61 65 6
36 71 21
28 37 8
52 85 30
42 96 6
31 79 29
9 75 15
1 36 15
12 99 7
13 58 4
2 65 28
29 74 3
67 77 20
36 82 5
16 84 18
44 92 3
23 96 27
26 89 22
2 55 19
53 62 21
20 31 20
23 94 12
14 68 21
11 52 10
42 65 13
15 28 12
68 85 30
0 98 16
62 88 7
29 48 25
73 84 20
49 50 29
18 79 8
77 91 29
32 67 12
5 11 14
73 87 27
26 96 16
7 75 6
56 91 3
74 92 22
40 91 25
15 35 26
47 66 19
62 94 3
45 93 23
21 42 18
33 42 28
48 92 23
9 49 23
18 76 14
12 93 30
2 80 2
8 89 11
0 37 10
47 61 21
32 84 3
39 78 22
14 40 11
46 58 7
57 94 11
59 85 28
0 23 17
1 9 30
11 27 12
5 94 11
28 76 21
14 30 2
23 52 22
72 97 19
29 84 25
5 54 10
1 93 30
45 51 8
2 27 12
78 92 21
42 54 19
20 83 3
48 99 14
67 72 29
21 35 30
34 67 11
22 58 29
91 94 27
18 59 3
15 85 3
50 86 15
92 95 8
10 63 18
10 11 8
34 74 6
22 62 30
0 80 3
14 94 28
59 84 28
0 60 29
53 61 9
22 83 12
5 51 21
16 19 11
11 50 19
58 88 17
3 75 14
13 62 30
8 40 29
42 73 2
26 60 2
5 62 2
66 79 12
67 73 11
5 13 21
25 43 13
42 88 14
44 73 4
7 8 28
39 69 20
52 63 28
59 92 17
35 36 30
3 4 18
19 66 24
59 74 26
60 89 6
18 49 5
36 40 2
1 52 9
19 94 2
7 40 8
25 62 30
7 49 14
23 56 21
48 62 7
58 77 25
82 93 8
21 98 29
0 11 29
32 81 22
4 84 29
39 60 23
14 92 9
51 92 22
29 50 29
12 21 16
51 54 15
20 38 28
23 50 27
51 71 24
13 90 20
21 43 28
26 97 22
58 65 25
53 78 28
92 94 5
2 92 10
42 55 29
50 77 28
5 25 15
30 52 20
73 85 1
50 57 8
41 61 7
15 59 21
16 59 12
15 57 26
90 96 18
20 52 13
19 75 9
50 82 16
3 83 2
58 72 21
56 74 25
11 87 11
12 98 30
20 67 25
60 61 19
14 50 11
49 88 20
49 60 19
4 92 11
20 64 21
1 81 26
60 93 21
35 40 6
75 89 23
14 89 17
45 58 15
10 14 25
28 66 16
27 39 29
26 87 18
39 50 13
65 89 19
41 81 13
45 53 25
5 33 17
72 95 3
61 86 19
15 73 3
45 75 8
13 35 9
6 96 12
54 63 28
0 64 9
49 79 11
10 99 18
42 72 2
84 97 3
28 42 9
4 70 19
67 80 25
21 65 1
62 75 30
36 97 4
37 60 3
34 53 24
45 59 25
34 59 23
64 85 4
6 75 21
15 63 28
3 16 11
31 95 22
1 17 24
46 92 4
45 66 14
33 70 28
3 22 22
3 63 23
65 96 25
1 70 6
3 34 17
40 99 13
6 62 21
7 48 19
59 96 11
97 98 8
66 89 14
73 80 26
39 57 29
34 66 12
29 86 8
10 92 23
29 44 21
70 74 23
52 90 20
39 48 19
16 18 18
2 41 28
37 41 9
5 95 19
50 96 14
61 85 27
25 88 21
91 99 19
6 99 21
61 66 13
0 46 17
11 61 18
41 59 17
30 81 6
34 51 9
15 92 16
22 50 13
41 57 8
49 71 19
45 54 22
25 92 8
96 97 18
8 14 11
12 92 6
69 95 30
4 34 3
43 68 4
81 90 14
82 95 26
24 38 24
19 22 21
55 87 15
12 81 8
28 84 11
4 99 22
30 89 19
45 64 9
22 57 17
40 95 12
0 75 21
64 90 18
53 95 13
13 72 15
33 94 14
8 25 29
69 93 2
2 4 26
0 97 19
49 99 2
11 92 24
44 46 1
13 57 22
50 80 20
33 86 21
33 84 1
28 69 12
43 44 12
15 50 14
13 55 30
7 56 28
12 57 12
9 64 5
7 77 8
21 25 17
74 91 24
44 62 9
15 51 25
32 60 13
35 64 3
57 61 23
27 61 5
44 60 10
28 95 8
8 16 24
8 84 2
27 85 3
52 72 26
38 86 23
7 84 15
3 33 4
24 30 19
24 46 11
16 91 28
73 82 28
28 77 12
6 13 10
41 54 13
45 80 11
36 65 23
70 91 20
83 94 23
85 88 5
48 73 12
0 13 6
3 88 9
59 80 6
59 62 17
90 92 10
27 83 12
15 90 30
76 98 29
14 97 30
56 79 1
25 55 25
83 93 15
28 65 19
12 48 26
19 96 22
11 26 12
25 27 17
45 69 14
10 70 21
5 19 12
52 65 30
68 88 24
81 91 23
27 87 4
9 47 22
70 99 7
39 43 18
2 90 17
47 58 14
71 97 10
73 79 3
13 41 17
29 65 6
41 73 7
9 41 16
3 14 9
31 56 18
30 54 8
84 86 27
80 85 28
8 96 23
13 31 25
48 50 8
3 86 11
2 6 6
37 93 13
56 94 16
77 82 21
44 65 20
57 66 30
17 20 17
13 76 26
46 57 3
66 75 26
24 50 9
17 63 23
34 87 24
61 92 22
12 84 9
40 80 9
58 94 6
56 72 1
64 66 11
2 82 29
63 79 12
24 72 6
65 77 14
12 45 11
76 88 9
21 22 17
53 89 26
18 50 19
4 81 17
70 76 24
41 99 5
46 87 10
13 59 16
1 40 12
12 32 11
6 37 27
18 62 2
12 78 26
2 45 5
36 69 3
33 39 30
35 80 10
41 74 3
32 42 9
27 40 10
76 86 13
13 44 6
13 19 24
28 41 2
16 34 29
85 95 25
36 43 9
55 83 11
0 35 22
11 51 16
33 74 4
15 99 1
31 66 13
36 55 12
58 61 4
1 26 17
18 52 29
8 21 23
52 62 17
64 87 11
1 33 16
48 97 22
72 98 22
12 38 21
54 59 6
0 28 10
63 94 17
8 56 26
4 69 11
28 61 15
6 47 9
9 58 3
2 20 15
8 69 6
17 40 18
33 83 11
36 91 28
36 83 11
54 75 20
36 84 29
41 62 15
11 19 9
6 20 17
58 73 25
32 72 29
14 15 27
50 55 2
20 60 26
14 55 10
58 64 19
32 85 27
10 24 18
58 62 1
27 29 21
24 33 9
66 93 4
25 91 22
66 91 25
62 67 15
12 73 11
29 77 13
7 59 25
3 31 2
29 64 22
14 23 18
26 59 18
89 96 16
2 38 28
10 41 28
21 90 20
27 95 6
46 93 22
0 86 26
5 46 13
96 98 27
28 43 10
74 96 12
76 84 10
15 29 13
36 98 1
46 73 19
36 77 10
0 77 11
3 7 7
11 58 26
95 97 11
74 83 4
28 79 4
18 75 16
65 94 13
3 92 25
68 92 29
1 79 5
41 77 12
82 97 24
5 31 19
49 68 2
13 69 6
21 54 24
71 72 8
12 71 19
18 68 28
17 28 8
4 41 30
25 52 2
19 82 8
6 76 4
37 57 22
0 51 24
58 71 3
19 57 11
59 78 6
8 46 27
60 79 4
4 32 16
13 38 8
64 74 6
3 90 3
29 76 27
19 31 3
4 68 14
3 24 3
32 89 17
42 45 8
64 73 18
21 73 4
6 36 14
35 69 22
3 93 8
4 51 13
38 61 11
19 86 6
13 61 9
36 68 5
13 54 15
15 41 17
48 94 9
3 87 8
31 52 3
25 33 19
33 90 5
17 21 20
44 78 17
18 47 11
4 39 29
8 57 17
37 64 8
44 97 21
8 52 4
46 85 22
8 60 7
24 76 23
62 97 6
56 98 29
2 61 1
52 80 8
43 52 20
29 73 16
29 87 23
14 67 25
0 96 2
66 78 7
59 75 20
30 79 12
1 57 21
59 94 23
3 18 2
6 12 18
7 23 6
33 64 4
33 65 21
63 78 27
68 86 16
7 70 22
30 38 1
64 92 6
38 77 29
37 50 18
63 76 3
51 62 23
83 96 25
23 83 23
69 84 15
74 82 23
53 76 23
29 82 29
4 94 23
22 24 24
13 45 29
63 89 1
11 71 27
35 55 23
16 64 19
17 78 25
64 93 25
13 32 27
9 72 15
20 34 27
22 36 4
8 76 7
45 87 12
69 92 22
21 96 20
4 89 17
7 33 28
68 72 23
37 97 22
62 98 12
48 59 2
33 35 22
0 22 6
49 65 24
89 95 24
24 61 28
88 90 24
1 23 9
68 80 12
27 46 5
20 41 27
3 62 30
27 49 17
16 43 10
29 69 13
82 89 13
26 79 3
1 92 27
13 22 28
45 78 10
17 56 11
15 75 18
29 97 5
27 53 7
33 36 12
24 92 20
1 34 11
5 9 15
8 39 14
44 76 21
10 95 24
9 69 28
57 69 18
68 83 20
7 10 13
41 47 20
67 86 5
35 85 24
3 58 27
32 79 30
16 86 6
25 29 26
10 30 13
11 66 12
19 77 10
20 90 25
1 3 20
37 88 2
53 77 16
10 42 9
11 25 1
61 75 8
19 45 24
3 99 11
55 80 17
15 88 1
49 74 22
52 93 22
49 66 29
38 85 20
35 54 28
1 82 29
0 45 22
26 85 20
18 96 14
7 38 15
7 27 12
27 45 5
54 97 5
86 97 2
69 98 30
40 89 25
26 63 26
74 98 27
5 45 14
2 87 27
37 42 8
47 55 10
33 78 6
88 96 27
27 47 1
19 84 14
73 88 3
22 33 8
77 93 7
40 73 28
6 72 29
5 26 1
46 88 25
1 67 27
7 45 5
30 45 6
32 71 20
8 66 8
52 69 8
30 70 16
57 83 29
13 43 24
23 27 21
13 36 11
11 96 29
25 32 7
9 56 30
27 56 29
43 87 17
27 76 6
26 51 29
30 37 12
24 95 3
8 64 4
34 36 5
26 35 13
9 40 5
0 5 8
54 91 8
1 39 25
44 77 2
12 58 8
83 95 12
21 26 27
14 61 15
7 24 16
32 69 12
36 72 11
1 18 16
48 70 27
35 88 25
55 81 18
7 51 7
8 72 7
68 81 16
34 43 22
42 58 26
15 97 19
29 62 7
43 66 24
42 52 15
43 91 7
16 39 7
50 99 13
44 84 15
44 75 28
12 54 2
24 82 24
35 74 25
43 61 5
10 67 4
11 47 29
4 90 3
29 30 11
52 89 3
57 64 24
7 44 9
20 27 13
1 87 5
90 95 2
3 20 15
76 87 5
57 86 20
33 80 20
38 84 3
25 44 15
23 41 24
27 36 9
34 40 14
69 82 2
35 97 16
31 32 3
6 25 10
17 62 13
16 99 1
29 38 29
83 90 30
58 75 21
12 87 23
3 73 21
7 71 18
19 42 5
46 59 27
3 84 19
53 56 29
8 29 9
54 71 26
32 50 24
2 28 12
3 96 11
42 69 17
14 80 14
10 22 29
19 33 4
75 86 30
17 60 21
39 58 13
50 66 7
11 49 8
6 53 28
23 62 16
14 58 1
23 84 5
47 92 5
28 68 15
60 80 27
25 69 16
71 95 26
43 92 21
53 74 14
61 84 11
46 81 4
72 88 13
7 54 20
1 94 30
4 33 15
12 35 12
47 67 18
31 98 12
24 64 30
11 80 5
50 87 4
18 89 2
34 46 17
58 93 16
71 93 4
9 79 11
39 93 4
51 97 20
4 6 6
41 92 21
25 36 28
29 33 7
63 82 26
5 82 6
0 6 20
78 89 2
22 95 7
22 65 4
49 80 14
43 81 12
56 90 14
60 77 20
67 89 15
26 41 24
22 23 19
54 95 25
32 96 27
21 30 5
44 82 9
8 62 23
75 90 3
67 95 11
9 54 21
21 24 26
74 86 14
19 90 4
37 53 16
35 82 13
17 88 10
4 63 6
1 86 1
11 37 3
12 23 5
90 91 1
1 41 4
79 85 12
30 40 18
11 84 23
35 73 13
48 95 15
22 96 3
20 50 10
26 65 2
40 74 1
36 49 9
53 88 30
23 82 18
12 89 1
3 6 16
32 65 11
26 50 20
29 67 13
44 63 27
18 87 17
68 74 12
62 78 10
10 79 8
63 86 13
5 21 6
44 59 22
19 60 23
19 34 1
43 67 15
79 95 6
55 95 8
2 58 25
40 63 12
23 89 21
20 42 5
3 13 24
39 68 9
12 56 13
33 62 29
43 57 25
12 52 3
22 64 15
10 52 6
57 68 14
51 56 10
9 96 25
76 97 19
22 89 13
18 30 7
43 49 25
24 80 15
25 80 10
49 69 22
14 17 3
1 59 4
19 50 27
45 79 12
9 30 23
45 83 1
48 79 21
19 58 28
55 59 11
27 80 28
62 82 3
8 97 14
70 92 19
13 20 15
9 71 20
60 81 13
17 65 18
20 36 10
9 38 20
71 90 1
27 91 3
18 56 14
28 71 24
42 84 10
2 29 18
15 81 25
20 54 2
15 98 14
84 95 17
7 42 6
20 61 20
8 92 27
18 22 21
31 35 25
0 71 4
5 92 22
38 88 6
6 77 19
23 99 6
15 58 17
12 14 7
62 84 25
64 67 6
17 79 12
55 69 11
60 91 10
53 94 26
44 98 9
95 98 29
25 59 27
4 87 3
60 67 21
39 44 1
23 78 5
75 85 18
14 37 12
59 99 9
25 61 20
26 42 5
15 66 18
9 92 8
49 64 28
20 93 30
34 91 10
34 99 26
8 35 23
29 36 5
64 81 30
54 85 5
44 99 24
48 90 3
52 97 20
3 9 12
54 67 15
83 91 29
37 63 3
79 92 1
28 62 9
32 78 19
61 71 25
28 32 25
23 31 18
59 70 2
82 86 20
19 80 26
23 93 4
75 82 18
57 90 2
46 99 11
17 86 30
58 99 6
3 95 10
6 19 3
40 65 19
11 59 29
54 81 8
29 83 18
74 87 22
20 74 17
35 41 11
16 78 13
56 58 8
51 80 21
37 80 17
32 94 26
25 95 6
72 82 29
21 28 21
89 91 21
23 44 19
53 91 8
72 74 4
77 88 25
14 93 30
41 69 6
13 74 23
6 41 27
13 46 19
27 86 3
18 39 6
21 51 26
60 76 10
22 93 22
31 82 14
33 71 16
21 77 12
65 81 27
57 87 17
84 87 14
52 94 25
4 97 20
8 90 5
65 99 29
40 92 29
39 85 1
33 57 12
15 72 27
88 91 23
64 99 14
48 83 11
37 96 26
51 91 1
11 34 22
22 48 9
28 82 2
14 70 5
49 84 23
17 51 13
24 69 17
12 72 30
96 99 4
69 91 22
33 82 5
21 64 29
64 65 4
21 62 10
29 49 5
52 96 1
17 53 9
39 67 30
5 79 20
69 90 25
0 4 25
55 60 8
16 30 22
42 85 27
14 31 30
2 64 2
27 98 29
39 53 23
37 73 19
36 88 30
34 47 26
37 66 4
55 94 18
80 81 3
10 97 10
82 87 4
47 57 30
45 94 2
23 38 12
53 83 7
54 88 3
67 92 7
47 51 30
6 26 28
24 57 24
48 68 11
36 37 2
29 31 5
47 89 6
41 91 11
56 97 16
28 50 19
10 78 26
67 75 2
18 51 27
6 58 30
65 74 7
40 75 29
51 76 16
7 14 9
0 92 21
26 54 28
37 56 5
37 77 3
2 62 20
84 99 13
34 73 23
36 67 21
10 38 8
6 87 7
28 45 16
25 60 18
34 61 26
62 90 19
76 91 12
5 28 28
27 60 5
13 87 26
27 35 20
17 95 12
37 74 5
26 69 29
58 59 17
33 46 23
68 99 19
49 91 7
0 3 22
8 82 8
21 88 23
38 87 24
5 56 5
47 49 10
61 96 26
55 65 12
70 93 15
82 99 27
44 91 11
51 74 13
6 97 10
6 8 24
0 65 18
42 92 8
6 49 6
78 96 23
34 88 22
47 73 5
49 58 10
44 67 21
36 70 26
11 16 21
13 14 25
24 37 15
30 48 27
43 70 8
78 81 1
4 75 29
51 69 11
27 31 7
29 32 12
19 73 12
22 91 1
16 82 5
15 52 4
25 53 26
0 48 18
5 41 17
27 68 2
3 69 9
54 61 28
19 26 26
18 41 25
74 84 8
52 67 2
0 76 25
0 2 21
69 72 24
49 81 12
38 52 28
6 93 9
12 86 2
18 95 6
30 66 3
55 86 13
56 85 21
3 53 26
36 39 21
16 20 6
43 97 16
2 78 12
0 20 19
24 28 26
6 48 27
16 50 9
17 24 25
18 94 24
6 15 2
25 67 26
43 93 16
32 76 6
38 79 24
34 62 21
12 82 14
75 92 17
1 90 17
35 72 11
11 40 27
28 89 29
27 37 18
4 76 8
66 99 9
17 66 10
79 99 24
21 40 9
84 93 5
10 33 11
23 63 28
47 99 1
9 11 26
31 90 21
32 98 21
36 45 24
5 35 3
40 94 16
33 63 10
51 67 19
66 85 12
7 96 11
13 91 26
47 65 8
79 90 19
50 69 4
71 79 30
5 20 1
22 28 9
55 98 28
26 66 29
83 86 20
43 88 14
61 77 5
34 37 4
70 82 24
11 88 10
28 78 9
69 70 26
45 82 15
33 98 28
12 36 28
4 20 21
7 78 25
27 41 5
12 46 26
33 95 14
28 64 24
27 44 3
3 61 27
11 13 14
46 86 28
2 11 29
6 31 17
63 99 8
27 72 23
77 87 16
10 69 21
36 56 21
58 60 2
43 83 17
1 77 9
13 21 12
0 62 27
52 92 6
24 29 22
72 85 23
17 61 1
7 92 1
23 32 18
23 43 13
22 42 15
27 34 4
14 35 18
17 49 5
22 61 2
1 15 17
62 99 3
52 82 18
48 60 13
6 73 18
51 83 19
40 93 4
8 55 2
15 22 15
23 42 5
29 43 23
64 84 15
61 82 29
26 98 21
42 53 14
46 70 25
58 89 11
38 42 23
21 44 26
24 65 2
24 66 29
42 49 4
5 7 10
11 73 12
33 87 25
2 95 25
3 82 3
80 86 23
32 88 11
10 25 29
17 74 3
25 40 4
68 70 26
10 93 16
16 33 25
78 79 24
26 84 22
28 73 23
38 43 13
34 89 2
11 31 7
22 43 22
1 19 24
20 47 16
20 40 14
17 72 9
4 47 17
65 71 14
20 96 3
91 98 16
38 66 23
50 65 3
41 71 24
5 40 17
48 85 26
13 23 17
80 98 9
43 71 22
61 89 21
91 96 2
31 57 25
10 34 1
27 52 29
47 83 17
31 92 28
24 73 12
25 47 26
10 49 20
25 77 16
67 87 1
13 30 20
62 64 21
57 58 15
4 15 5
83 99 28
10 90 13
59 66 7
33 88 13
61 90 4
26 70 18
24 55 10
21 60 12
67 79 17
57 65 25
18 73 19
9 97 21
51 96 25
7 9 29
12 44 28
82 94 1
55 90 12
32 93 9
72 99 7
56 81 19
58 92 25
16 66 6
30 35 25
13 28 5
18 48 28
50 74 5
23 29 15
7 89 26
73 93 21
5 98 30
36 54 21
14 75 6
21 97 20
92 96 22
31 89 5
48 61 18
42 74 14
3 70 24
11 17 27
65 83 24
48 54 24
16 23 19
18 71 10
85 98 2
39 61 12
86 91 27
13 73 24
19 81 10
6 50 4
63 87 29
5 53 8
56 82 28
4 30 16
7 98 25
7 87 18
0 70 12
23 25 29
38 72 26
5 6 25
8 17 17
34 82 28
11 76 10
34 38 4
55 78 20
18 46 11
2 51 15
4 71 13
0 14 29
30 56 5
45 90 18
34 56 28
1 28 14
75 76 2
22 81 17
27 54 12
46 65 11
54 64 13
32 43 7
27 74 30
5 76 17
36 42 29
26 99 13
45 96 28
62 73 4
37 68 9
35 76 29
41 51 6
22 25 6
29 91 11
85 90 4
36 61 19
3 94 6
70 87 1
34 77 25
47 52 18
46 61 20
48 72 13
52 53 22
24 85 19
66 80 13
35 78 1
15 86 14
29 96 21
9 52 3
1 89 4
2 63 5
14 65 9
12 70 30
47 87 5
15 96 27
27 77 14
27 75 15
75 84 9
1 2 16
30 31 17
25 98 14
38 50 4
10 36 10
10 44 6
91 97 4
53 71 16
9 63 27
12 66 16
28 81 19
7 47 28
45 47 7
7 67 9
13 67 24
25 71 14
16 53 11
25 81 7
19 89 28
25 75 22
11 22 3
86 99 19
31 60 22
1 56 12
35 62 3
28 55 1
34 72 29
35 68 14
29 66 3
58 82 10
78 99 17
9 95 18
41 84 8
1 50 23
4 7 3
54 76 6
4 65 30
27 51 19
28 86 27
49 59 5
23 72 13
16 75 21
52 83 16
76 85 20
61 81 10
20 37 7
31 37 28
73 97 22
77 94 17
27 96 15
11 82 1
76 89 7
42 79 8
51 95 20
51 94 23
93 94 24
18 43 25
78 88 7
38 94 9
70 94 17
1 51 26
29 90 3
75 87 4
18 70 2
6 54 17
2 72 17
54 96 23
8 86 8
34 75 13
58 66 23
46 60 4
49 73 22
87 89 1
9 36 23
40 48 12
1 54 2
73 90 27
64 94 20
8 50 1
38 89 12
2 91 19
84 96 10
18 67 26
59 90 28
28 40 19
44 48 25
64 79 1
32 36 28
21 83 2
32 39 18
45 86 2
61 69 21
27 90 29
28 39 13
29 59 11
24 98 20
49 82 5
41 63 20
4 28 15
12 61 5
42 89 30
15 42 5
20 51 8
13 27 14
17 94 14
47 72 8
69 85 28
27 89 3
78 97 15
13 29 11
17 55 5
7 50 7
28 99 2
37 91 1
14 81 29
7 32 20
33 37 27
64 80 29
63 80 1
7 74 16
11 68 11
18 88 27
38 69 24
1 95 7
5 16 5
70 90 4
87 95 10
49 67 3
6 45 18
73 83 15
9 90 15
47 86 21
48 56 22
23 45 7
5 78 7
42 80 30
28 74 25
15 60 19
81 87 23
56 87 16
10 46 25
8 27 3
9 19 22
23 75 25
16 49 30
29 81 22
21 31 14
35 45 22
55 61 5
36 73 4
50 90 7
90 94 12
14 28 29
35 91 19
67 76 3
35 49 2
6 18 23
53 79 26
31 62 22
29 54 13
17 48 6
73 94 20
42 81 22
27 64 23
60 64 29
9 35 27
1 98 29
47 80 19
10 55 30
18 65 16
54 73 11
41 93 19
26 75 26
24 42 16
10 40 22
52 70 5
6 33 17
22 59 4
38 95 21
20 68 3
37 86 24
17 77 27
25 83 24
34 41 26
30 77 6
88 99 20
55 89 9
84 89 16
4 43 12
3 50 12
68 75 19
2 74 13
34 35 9
53 90 24
36 95 14
19 32 30
45 55 15
69 87 4
3 74 6
25 45 29
67 71 24
89 94 23
19 64 26
69 81 23
80 95 7
38 48 25
61 80 9
26 67 13
49 61 1
68 82 17
55 88 2
64 71 7
63 65 24
62 74 8
6 27 2
68 89 21
29 71 1
87 98 14
65 93 26
6 10 22
17 59 29
9 32 19
11 20 20
34 50 11
49 55 15
55 91 20
18 28 6
88 98 12
24 87 5
26 71 2
65 78 12
30 99 11
14 66 16
12 83 25
38 57 2
17 85 26
18 54 14
38 74 2
71 74 12
15 67 21
32 92 26
17 97 7
28 96 18
22 63 18
8 47 3
10 87 28
74 95 4
32 38 8
10 62 18
17 91 6
79 81 30
10 77 16
19 21 9
11 57 18
70 80 20
15 39 29
34 92 28
25 26 19
14 38 18
26 57 8
32 63 17
46 95 5
33 55 5
42 75 20
58 70 14
16 26 22
39 80 21
33 81 21
23 37 30
2 9 6
29 45 25
72 96 19
23 39 28
0 84 17
36 87 18
9 76 6
12 53 21
8 34 29
64 70 27
39 82 10
11 24 23
26 45 24
34 39 27
98 99 24
80 92 18
43 98 19
31 64 24
18 69 7
41 94 13
33 92 6
5 67 28
14 16 30
88 97 2
52 75 5
47 97 25
32 44 10
77 92 5
5 27 30
26 80 3
34 54 28
7 43 2
42 63 6
41 64 9
9 85 28
23 87 22
16 62 22
5 58 30
5 83 12
6 17 12
0 93 6
20 35 5
20 59 6
22 78 12
2 93 29
12 39 11
53 75 16
66 69 28
40 53 5
6 55 14
83 88 11
28 97 7
16 70 15
50 70 10
41 48 21
1 76 14
10 54 27
11 94 16
35 86 28
3 28 26
57 78 28
30 62 22
29 39 16
1 69 17
11 69 12
94 98 21
85 89 2
20 97 1
76 93 11
14 48 8
0 10 14
8 13 11
77 84 4
48 65 11
31 85 7
11 62 20
22 26 28
57 60 16
5 57 11
22 71 2
34 94 7
72 92 24
29 92 30
68 90 9
14 63 6
32 35 15
20 84 14
37 99 5
65 88 20
27 62 1
34 69 13
8 20 3
14 49 1
56 64 15
40 82 28
50 88 23
48 53 12
83 92 26
12 40 23
1 6 14
82 96 17
8 79 30
13 17 29
41 97 16
82 91 20
25 74 27
6 85 26
46 77 21
13 96 12
41 58 1
8 65 4
44 58 12
16 36 9
47 94 21
8 42 13
25 97 23
91 95 21
58 85 28
66 92 13
3 23 13
63 73 26
34 83 17
33 47 13
34 76 8
14 27 25
54 66 15
56 65 21
37 49 30
47 75 12
18 42 21
49 86 30
51 99 26
22 66 21
40 55 22
55 82 21
48 69 28
32 52 2
22 56 3
7 25 17
33 44 1
13 79 21
60 68 23
30 58 1
86 95 5
59 69 6
22 40 1
24 26 30
65 67 20
56 69 12
45 60 16
16 68 20
55 93 27
21 74 20
43 46 27
86 93 1
1 46 23
60 71 23
61 72 28
48 67 30
79 91 21
1 42 30
15 20 24
12 90 5
45 72 11
59 79 13
1 62 5
39 71 5
12 22 6
18 61 2
22 77 3
86 89 28
73 91 28
62 93 18
45 49 27
47 48 28
5 90 18
55 96 22
26 83 4
62 80 20
19 48 2
34 55 1
1 65 26
61 76 1
59 64 27
53 99 26
2 36 17
19 41 23
65 84 12
48 52 13
14 25 8
62 69 27
15 65 3
32 73 25
63 70 20
12 34 22
5 87 12
4 85 27
82 90 8
41 53 26
0 16 14
0 66 10
65 73 11
56 84 22
4 37 2
0 99 7
27 65 20
37 52 21
50 51 12
5 12 18
42 93 25
60 72 11
74 88 27
43 96 25
81 99 3
31 55 14
60 87 29
53 82 15
86 87 1
75 95 29
3 35 17
25 49 3
31 61 26
51 93 18
15 43 24
61 98 23
39 72 30
71 78 20
32 77 19
50 97 28
59 60 16
5 14 21
76 82 12
22 46 5
81 85 19
70 79 2
32 66 30
49 70 24
33 68 16
31 73 18
43 99 28
12 85 7
27 57 19
39 83 21
18 24 23
23 91 3
77 90 17
55 73 15
70 83 17
16 32 5
2 26 20
0 34 3
20 25 3
6 34 3
14 91 27
25 65 22
20 30 8
8 9 11
39 84 26
12 16 28
1 43 20
11 55 28
67 74 12
9 67 14
10 85 10
11 32 6
15 71 4
23 59 6
3 85 14
2 42 5
54 82 13
27 79 11
57 85 1
11 54 9
48 58 19
13 95 6
22 87 20
45 84 19
49 83 28
15 76 12
48 91 6
48 84 10
0 7 13
26 82 30
45 85 27
46 71 23
8 30 27
44 93 24
10 27 11
4 61 21
26 56 29
0 38 18
79 97 22
4 67 8
15 61 14
40 90 29
57 81 21
25 94 18
33 60 8
66 70 8
53 59 27
13 81 10
11 43 23
70 77 14
25 78 19
30 80 26
32 46 19
21 61 1
8 45 10
11 28 19
35 66 14
63 67 23
15 79 12
49 51 21
52 79 7
74 77 4
55 85 1
9 28 12
14 78 27
58 79 14
0 55 16
48 66 2
89 93 3
61 64 24
14 69 10
37 94 5
2 25 9
8 37 16
17 50 12
45 81 20
35 77 28
4 73 17
76 95 8
40 47 24
38 73 20
60 92 7
34 68 12
0 19 4
8 53 26
5 52 9
70 71 10
5 24 25
71 85 1
84 94 23
3 17 14
10 58 11
2 10 23
17 81 27
19 98 17
53 69 10
2 40 16
73 86 24
6 59 23
14 33 5
1 68 11
73 92 2
19 79 27
16 77 12
77 98 13
48 93 18
9 17 23
16 90 21
26 28 11
13 64 18
25 58 19
6 88 13
7 88 23
10 15 28
24 94 30
55 58 22
66 76 8
56 99 11
3 57 3
21 50 30
57 84 6
48 63 22
2 46 24
38 91 4
20 62 3
